epoch,loss,train_accuracy,validation_accuracy
0,2.461434621980644,0.09995555555555556,0.1004
10,2.3015014294102936,0.09984444444444444,0.1038
20,2.2917129716862603,0.14415555555555556,0.1474
30,2.2860591357110844,0.1564222222222222,0.1628
40,2.284398454036844,0.16977777777777778,0.1738
50,2.2763518317614198,0.18135555555555555,0.1868
60,2.2742344388108493,0.19195555555555555,0.1984
70,2.2699044796236545,0.2013111111111111,0.205
80,2.268748648568348,0.21144444444444443,0.2148
90,2.253542487038126,0.22017777777777778,0.2242
100,2.2650688222163438,0.22928888888888888,0.232
